marasmius_scorodonius	Eukaryota	24	182058	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Omphalotaceae; Mycetinis	2759	5204	155619	5338	72117	1659588
borreliella_burgdorferi	Bacteria	35	139	cellular organisms; Bacteria; Spirochaetes; Spirochaetia; Spirochaetales; Borreliaceae; Borreliella	2	203691	203692	136	1643685	64895
herbaspirillum_autotrophicum	Bacteria	28	180195	cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum	2	1224	28216	80840	75682	963
rhizopus_oryzae	Eukaryota	25	64495	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Mucorineae; Rhizopodaceae; Rhizopus	2759	1913637	NA	4827	1344955	4842
rhizophlyctis_rosea	Eukaryota	24	64517	cellular organisms; Eukaryota; Opisthokonta; Fungi; Chytridiomycota; Chytridiomycetes; Rhizophlyctidales; Rhizophlyctidaceae; Rhizophlyctis	2759	4761	451435	642610	1396497	64515
alteromonas_alvinellae	Bacteria	25	135000	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas	2	1224	1236	135622	72275	226
kocuria_turfanensis	Bacteria	28	388357	cellular organisms; Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Micrococcales; Micrococcaceae; Kocuria	2	201174	1760	85006	1268	57493
streptomyces_griseoroseus	Bacteria	26	1520566	cellular organisms; Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	2	201174	1760	85011	2062	1883
planomicrobium_psychrophilum	Bacteria	24	161361	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planomicrobium	2	1239	91061	1385	186818	162291
streptomyces_megasporus	Bacteria	41	44060	cellular organisms; Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	2	201174	1760	85011	2062	1883
pseudomonas_glathei	Bacteria	30	60547	cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Caballeronia	2	1224	28216	80840	119060	1827195
tetrahymena_vorax	Eukaryota	25	5919	cellular organisms; Eukaryota; Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Hymenostomatida; Tetrahymenina; Tetrahymenidae; Tetrahymena	2759	NA	6020	31277	291294	5890
