1049199_Bacteria_25	UP000269157
1049583_Bacteria_28	UP000192929
1049583_Bacteria_28	UP000471026
1049583_Bacteria_28	UP000293617
1049584_Bacteria_28	UP000230886
1049584_Bacteria_28	UP000182683
1050174_Bacteria_37	UP000035368
1051531_Bacteria_28	UP000547510
105219_Bacteria_28	UP000076550
105219_Bacteria_28	UP000234800
105219_Bacteria_32	UP000076550
105219_Bacteria_32	UP000234800
1052260_Bacteria_28	UP000199088
1052_Bacteria_26	UP000218890
1052_Bacteria_36	UP000218890
105351_Eukaryota_25	UP000286921
1053551_Bacteria_28	UP000247814
1053551_Bacteria_29	UP000247814
1054498_Bacteria_28	UP000247555
1054996_Bacteria_23	UP000184191
1055723_Bacteria_28	UP000184031
105612_Bacteria_20	UP000321659
1056511_Bacteria_28	UP000011134
1056807_Bacteria_37	UP000031390
105696_Eukaryota_23	UP000193240
105696_Eukaryota_24	UP000193240
1058_Bacteria_25	UP000198816
105984_Eukaryota_24	UP000279236
105984_Eukaryota_25	UP000279236
106147_Bacteria_37	UP000541421
1061_Bacteria_28	UP000183812
1061_Bacteria_28	UP000310597
1061_Bacteria_29	UP000183812
1061_Bacteria_29	UP000310597
1061_Bacteria_30	UP000183812
1061_Bacteria_30	UP000310597
1062_Bacteria_32	UP000264340
1062_Bacteria_32	UP000264226
1062_Bacteria_32	UP000261942
1062_Bacteria_32	UP000262445
1062_Bacteria_32	UP000258312
1062_Bacteria_32	UP000262980
1063_Bacteria_27	UP000248975
1063_Bacteria_27	UP000278666
1063_Bacteria_28	UP000248975
1063_Bacteria_28	UP000278666
1063_Bacteria_30	UP000248975
1063_Bacteria_30	UP000278666
106412_Bacteria_28	UP000198282
106590_Bacteria_29	UP000253501
106590_Bacteria_29	UP000189627
106590_Bacteria_29	UP000595791
106590_Bacteria_30	UP000253501
106590_Bacteria_30	UP000189627
106590_Bacteria_30	UP000595791
106592_Bacteria_28	UP000248187
106592_Bacteria_28	UP000037425
106592_Bacteria_28	UP000245453
