21_262004_Bacteria	UP000199492
21_3075_Eukaryota	UP000028924
21_33097_Eukaryota	UP000075714
21_369401_Bacteria	UP000182544
21_37752_Bacteria	UP000032061
21_386300_Bacteria	UP000321392
21_386301_Bacteria	UP000198701
21_4922_Eukaryota	UP000094565
21_494026_Bacteria	UP000076967
21_56812_Bacteria	UP000055702
21_74031_Bacteria	UP000037046
21_74033_Bacteria	UP000203589
21_996_Bacteria	UP000288951
22_1153_Bacteria	UP000248727
22_1213189_Eukaryota	UP000188320
22_1484693_Bacteria	UP000186110
22_164328_Eukaryota	UP000005238
22_173365_Bacteria	UP000238071
22_185950_Bacteria	UP000244013
22_185951_Bacteria	UP000240996
22_186761_Bacteria	UP000526892
22_1912094_Bacteria	UP000261092
22_195913_Bacteria	UP000199550
22_225971_Bacteria	UP000439914
22_245187_Bacteria	UP000199585
22_245188_Bacteria	UP000195273
22_254787_Bacteria	UP000323856
22_268407_Bacteria	UP000029734
22_27322_Eukaryota	UP000268321
22_289078_Eukaryota	UP000249723
22_291179_Bacteria	UP000321578
22_291187_Bacteria	UP000324358
22_291190_Bacteria	UP000321367
22_291193_Bacteria	UP000321734
22_29536_Bacteria	UP000093807
22_314319_Bacteria	UP000391834
22_32049_Bacteria	UP000001688
22_33653_Eukaryota	UP000323011
22_354630_Bacteria	UP000186307
22_361077_Eukaryota	UP000076078
22_37659_Bacteria	UP000554166
22_401471_Bacteria	UP000275663
22_425511_Bacteria	UP000295499
22_425512_Bacteria	UP000320300
22_425513_Bacteria	UP000295620
22_44745_Eukaryota	UP000485058
22_47427_Eukaryota	UP000217790
22_4787_Eukaryota	UP000602510
22_4954_Eukaryota	UP000196771
22_50422_Bacteria	UP000243190
22_53985_Eukaryota	UP000433483
22_57028_Bacteria	UP000249115
22_5786_Eukaryota	UP000001064
22_58919_Eukaryota	UP000245946
22_59602_Bacteria	UP000289792
22_652787_Bacteria	UP000199679
22_652788_Bacteria	UP000317010
22_655015_Bacteria	UP000193978
22_71784_Eukaryota	UP000193986
22_983_Bacteria	UP000316775
23_1054996_Bacteria	UP000184191
23_105696_Eukaryota	UP000193240
23_1072105_Eukaryota	UP000190274
23_114404_Bacteria	UP000241206
23_133377_Eukaryota	UP000245591
23_145483_Bacteria	UP000522688
23_1486281_Bacteria	UP000227131
23_152297_Bacteria	UP000060987
23_155866_Bacteria	UP000254912
23_199596_Bacteria	UP000236286
23_23_Bacteria	UP000095230
23_246167_Bacteria	UP000275600
23_254056_Eukaryota	UP000077002
23_28108_Bacteria	UP000396791
23_29920_Eukaryota	UP000251314
23_3055_Eukaryota	UP000006906
23_314275_Bacteria	UP000182554
23_318456_Bacteria	UP000019762
23_365591_Bacteria	UP000255061
23_388466_Bacteria	UP000292958
23_42251_Eukaryota	UP000244722
23_43654_Bacteria	UP000307217
23_43658_Bacteria	UP000033452
23_43659_Bacteria	UP000217351
23_44689_Eukaryota	UP000002195
23_4790_Eukaryota	UP000052943
23_4795_Eukaryota	UP000198211
23_525917_Bacteria	UP000192491
23_5486_Eukaryota	UP000253472
23_55601_Bacteria	UP000256518
23_570835_Bacteria	UP000269669
23_61424_Eukaryota	UP000245699
23_61595_Bacteria	UP000198672
23_658225_Bacteria	UP000319931
23_668_Bacteria	UP000429810
23_79329_Bacteria	UP000318815
23_81459_Bacteria	UP000231896
23_85581_Bacteria	UP000533429
23_94868_Bacteria	UP000284277
23_988_Bacteria	UP000290608
24_101091_Eukaryota	UP000093000
24_101127_Eukaryota	UP000242146
24_101201_Eukaryota	UP000243598
24_104259_Eukaryota	UP000042958
24_105984_Eukaryota	UP000279236
24_109895_Eukaryota	UP000318582
24_110935_Bacteria	UP000189735
24_113226_Eukaryota	UP000073492
24_117187_Eukaryota	UP000252067
24_117820_Eukaryota	UP000319799
24_1196081_Eukaryota	UP000249363
24_120213_Bacteria	UP000256709
24_1202772_Eukaryota	UP000243579
24_1214573_Eukaryota	UP000034680
24_122368_Eukaryota	UP000230605
24_1230097_Eukaryota	UP000285146
24_133549_Bacteria	UP000467164
24_135208_Eukaryota	UP000298061
24_148305_Eukaryota	UP000515153
24_149040_Eukaryota	UP000070700
24_1555241_Eukaryota	UP000274922
24_156630_Eukaryota	UP000293823
24_158607_Eukaryota	UP000094444
24_167740_Eukaryota	UP000293547
24_1708541_Eukaryota	UP000310685
24_176275_Eukaryota	UP000235728
24_183478_Eukaryota	UP000249619
24_185949_Bacteria	UP000326857
24_1882483_Eukaryota	UP000246740
24_1884261_Eukaryota	UP000305067
24_196109_Eukaryota	UP000070501
24_202747_Bacteria	UP000534672
24_215637_Eukaryota	UP000268162
24_221103_Eukaryota	UP000054988
24_221822_Bacteria	UP000236447
24_227084_Bacteria	UP000199321
24_229535_Eukaryota	UP000037696
24_242606_Bacteria	UP000295645
24_246404_Eukaryota	UP000320333
24_247523_Bacteria	UP000188243
24_264951_Eukaryota	UP000283841
24_27334_Eukaryota	UP000030143
24_27337_Eukaryota	UP000288725
24_278938_Eukaryota	UP000297229
24_28109_Bacteria	UP000255327
24_29534_Bacteria	UP000184121
24_29581_Bacteria	UP000254210
24_296199_Bacteria	UP000322521
24_29845_Eukaryota	UP000191518
24_303698_Eukaryota	UP000191285
24_3076_Eukaryota	UP000239899
24_3088_Eukaryota	UP000256970
24_33203_Eukaryota	UP000078340
24_341454_Eukaryota	UP000298138
24_34475_Eukaryota	UP000298390
24_348802_Eukaryota	UP000054342
24_356882_Eukaryota	UP000283895
24_35722_Eukaryota	UP000054107
24_360056_Bacteria	UP000556836
24_36022_Eukaryota	UP000189513
24_36035_Eukaryota	UP000262825
24_365590_Bacteria	UP000445191
24_36646_Eukaryota	UP000191500
24_38457_Eukaryota	UP000249056
24_39765_Bacteria	UP000296201
24_401625_Eukaryota	UP000054845
24_40296_Eukaryota	UP000030104
24_41047_Eukaryota	UP000215305
24_42260_Eukaryota	UP000509704
24_423350_Bacteria	UP000268007
24_43667_Bacteria	UP000316612
24_45133_Eukaryota	UP000325902
24_45286_Eukaryota	UP000243052
24_45357_Eukaryota	UP000244309
24_456999_Eukaryota	UP000044841
24_4792_Eukaryota	UP000054423
24_4829_Eukaryota	UP000078561
24_4846_Eukaryota	UP000253551
24_48703_Eukaryota	UP000280685
24_4909_Eukaryota	UP000249293
24_4926_Eukaryota	UP000186136
24_4952_Eukaryota	UP000256601
24_4955_Eukaryota	UP000190831
24_4956_Eukaryota	UP000187013
24_498292_Bacteria	UP000199604
24_5005_Eukaryota	UP000243876
24_5067_Eukaryota	UP000326532
24_5076_Eukaryota	UP000076449
24_5082_Eukaryota	UP000243623
24_5217_Eukaryota	UP000289152
24_5286_Eukaryota	UP000199069
24_5288_Eukaryota	UP000311382
24_53406_Bacteria	UP000242849
24_5417_Eukaryota	UP000473826
24_5466_Eukaryota	UP000295703
24_54673_Eukaryota	UP000297527
24_5478_Eukaryota	UP000054886
24_5507_Eukaryota	UP000286305
24_5514_Eukaryota	UP000266152
24_5516_Eukaryota	UP000241587
24_5539_Eukaryota	UP000258309
24_5551_Eukaryota	UP000243015
24_5599_Eukaryota	UP000077248
24_5627_Eukaryota	UP000092993
24_56406_Eukaryota	UP000183365
24_56408_Eukaryota	UP000095728
24_5643_Eukaryota	UP000029665
24_5664_Eukaryota	UP000000542
24_56646_Eukaryota	UP000245910
24_5679_Eukaryota	UP000063063
24_568076_Eukaryota	UP000030151
24_5689_Eukaryota	UP000419144
24_58627_Eukaryota	UP000054251
24_58853_Eukaryota	UP000241546
24_599839_Eukaryota	UP000006352
24_60169_Eukaryota	UP000191408
24_60172_Eukaryota	UP000191612
24_60175_Eukaryota	UP000191691
24_61395_Eukaryota	UP000193922
24_691883_Eukaryota	UP000030693
24_69771_Eukaryota	UP000191522
24_71717_Eukaryota	UP000298030
24_72032_Eukaryota	UP000033483
24_73501_Eukaryota	UP000323067
24_74557_Eukaryota	UP000243217
24_77044_Eukaryota	UP000054516
24_84751_Eukaryota	UP000323386
24_84753_Eukaryota	UP000053758
24_879819_Eukaryota	UP000053611
24_90262_Eukaryota	UP000193560
24_91928_Eukaryota	UP000053328
